"Source:","/home/francesco/Sviluppo/Elettronica/KiCad/project/screwbreaker/ScartPCB/ScartPCB.kicad_sch"
"Date:","dom 6 nov 2022, 10:25:36"
"Tool:","Eeschema 6.0.8-f2edbf62ab~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","31"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Datasheet","Description","Footprint","Manufacturer","Manufacturer_Part_Number","Package","Reference","Value"
"1","2","C0, C5","100nF","Device:C","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.it/datasheet/2/447/UPY_NP0X5R_01005_4V_to_25V_V10-3003057.pdf","~"," 16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS ","","YAEGO","CC0402KRX7R7BB104","0402","C","C"
"2","1","C1","4.7uF","Device:C","Capacitor_SMD:C_0402_1005Metric","https://eu.mouser.com/datasheet/2/40/Kyocera_AVX_Components_CT_Series_e-2933596.pdf","~"," 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS ","","Kyocera AVX","CM05X5R475M25AH","0402","C","C"
"3","1","C2","10pF","Device:C","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.it/datasheet/2/210/WTC_MLCC_General_Purpose-1534899.pdf","~"," 50V 10pF NP0 ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS ","","Walsin","0402N100J500CT","0402","C","C"
"4","1","C3","1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","https://eu.mouser.com/datasheet/2/281/1/GRM155R61E105MA12_01A-1983855.pdf","~"," 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS ","","Murata Electronics","GRM155R61E105MA12D ","0402","C","C"
"5","6","CB1, CB2, CG1, CG2, CR1, CR2","100uF","Device:C","Capacitor_SMD:C_1206_3216Metric","https://eu.mouser.com/datasheet/2/281/1/GRM31CR61A107ME05_01A-2066674.pdf","~"," 10V 100uF X5R ±20% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS ","","Murata Electronics","GRM31CR61A107ME05L","1206","C","C"
"6","3","CB3, CG3, CR3","22uF","Device:C","Capacitor_SMD:C_0603_1608Metric","https://eu.mouser.com/datasheet/2/585/MLCC-1837944.pdf","~"," 10V 22uF X5R ±20% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS ","","Samsung","CL10A226MP8NUNE","0603","C","C"
"7","1","CC3","50nF","Device:C","Capacitor_SMD:C_0603_1608Metric","https://www.mouser.it/datasheet/2/447/UPY_NP0X5R_01005_4V_to_25V_V10-3003057.pdf","~","50V 47nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS ","","Yaego","CC0603KRX7R9BB473","0603","C","C"
"8","1","CC4","10pF","Device:C","Capacitor_SMD:C_0603_1608Metric","https://www.mouser.it/datasheet/2/447/UPY_NP0X5R_01005_4V_to_25V_V10-3003057.pdf","~"," 50V 10pF NP0 ±5% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS ","","Yaego","CC0603JRNPO9BN100","0603","C","C"
"9","2","D1, D2","D_Schottky","Device:D_Schottky","Diode_SMD:D_0402_1005Metric","https://eu.mouser.com/datasheet/2/80/CDBQR0130R_HF_RevC796140-2489182.pdf","~","","","Comchip Technology","CDBQR0130R-HF","0402","D","D_Schottky"
"10","1","L1","10uH","Device:L","Inductor_SMD:L_0603_1608Metric","https://product.tdk.com/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_decoupling_mlz1608_en.pdf","~"," 250mA 10uH ±20% 90mA 1.05Ω 0603 Inductors (SMD) ROHS ","","TDK","MLZ1608M100WT000","0603","L","L"
"11","1","R1","1.6M","Device:R","Resistor_SMD:R_0402_1005Metric","https://www.mouser.it/datasheet/2/447/PYu_RC_Group_51_RoHS_L_11-1984063.pdf","~","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% -55℃~+155℃ 1.6MΩ 0402 Chip Resistor - Surface Mount ROHS ","","YAEGO","RC0402FR-071M6L","0402","R","R"
"12","1","R2","200K","Device:R","Resistor_SMD:R_0402_1005Metric","https://www.mouser.it/datasheet/2/447/PYu_RC_Group_51_RoHS_L_11-1984063.pdf","~","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% -55℃~+155℃ 200kΩ 0402 Chip Resistor - Surface Mount ROHS ","","Royalohm","0402WGF2003TCE ","0402","R","R"
"13","1","R3","1K","Device:R","Resistor_SMD:R_0402_1005Metric","https://www.mouser.it/datasheet/2/1365/GeneralPurpose-2498088.pdf","https://www.mouser.it/datasheet/2/1365/GeneralPurpose-2498088.pdf","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% -55℃~+155℃ 1kΩ 0402 Chip Resistor - Surface Mount ROHS","Resistor_SMD:R_0402_1005Metric","Royalohm","0402WGF1001TCE","0402","R3","1K"
"14","2","R5, R6","10K","Device:R","Resistor_SMD:R_0402_1005Metric","https://www.mouser.it/datasheet/2/447/PYu_RC_Group_51_RoHS_L_11-1984063.pdf","~","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±5% -55℃~+155℃ 10kΩ 0402 Chip Resistor - Surface Mount ROHS","","Yaego","RC0402JR-0710KL","0402","R","R"
"15","1","R9","180","Device:R","Resistor_SMD:R_0402_1005Metric","https://www.mouser.it/datasheet/2/1365/HighPowerHP-2498106.pdf","~","100mW 50V ±100ppm/℃ ±1% -55℃~+155℃ 180Ω 0402 Chip Resistor - Surface Mount ROHS ","","Royalohm","HP02WAF1800TCE","0402","R","R"
"16","3","RB1, RG1, RR1","75","Device:R","Resistor_SMD:R_0402_1005Metric","https://eu.mouser.com/datasheet/2/1365/GeneralPurpose-2498088.pdf","~"," 62.5mW 50V ±100ppm/℃ ±1% -55℃~+155℃ 75Ω 0402 Chip Resistor - Surface Mount ROHS ","","Royalohm","0402WGF750JTCE","0402","R","R"
"17","1","RC1","300","Device:R","Resistor_SMD:R_0402_1005Metric","https://www.mouser.it/datasheet/2/447/PYu_RC_Group_51_RoHS_L_11-1984063.pdf","~","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±5% -55℃~+155℃ 300Ω 0402 Chip Resistor - Surface Mount ROHS ","","Yaego","RC0402JR-07300RL","0402","R","R"
"18","1","U1","TPS61040DBVR","TPS61040DBVR:TPS61040DBVR","Footprints:TPS61040DBVR","https://www.ti.com/lit/ds/symlink/tps61040.pdf","","28-V, 400-mA Switch Boost Converter in SOT-23 for LCD and White LED Applications","DBV0005A"," Texas Instruments","TPS61040DBVR","SOT-23-5","U*","TPS61040DBVR"
"19","1","U2","SN74AHC1G125DBVR","SN74AHC1G125DBVR:SN74AHC1G125DBVR","Footprints:SN74AHC1G125DBVR","https://www.ti.com/cn/lit/ds/symlink/sn74ahc1g125.pdf","","Tri-State 8mA Buffers，Unidirectional Voltage Level Translators 2V~5.5V 8mA -40℃~+125℃ SOT-23-5 Buffers / Drivers ROHS ","DBV5","Texas Instruments","SN74AHC1G125DBVR","SOT-23-5","U","SN74AHC1G125DBVR"
